岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
新鹰计划”顺丰南京区2025 届实习生,150-180元/天,2个月,一、新鹰计划介绍,本科,50,2024-05-07 16:04,江苏顺丰速运有限公司,,全国,交通|物流|贸易
Golang开发实习生,150-200元/天,3个月,1、负责公司AI产品后端的设计落地及开发。,本科,1,2024-04-07 13:07,医智影,小于50人,北京,汽车|机械|制造
Python开发实习生,150-200元/天,3个月,岗位职责：,本科,1,2024-04-12 14:04,医智影,小于50人,北京,汽车|机械|制造
会议论坛部实习,160-180元/天,3个月,1. 负责会议活动资料整理、制作；,大专,10,2024-04-30 15:44,cioe中国光博会,51~100人,广东,政府/非盈利机构/其他
WEB前端开发实习生,150-200元/天,2个月,1、 充分理解产品需求，正确输出客户及产品需要的前端功能；,本科,1,2024-05-05 17:12,医智影,小于50人,北京,汽车|机械|制造
招聘交付实习生,3-6K/月,3个月,你的任务：,大专,5,2024-04-29 21:31,货拉拉,3001人及以上,广东,互联网|游戏|软件
招聘实习生/HR Intern,面议,3个月,1. 发布并维护招聘平台的岗位信息；,本科,1,2024-04-30 11:52,Theory,301~1000人,上海,快速消费品
财务实习生,150-160元/天,6个月,1、熟悉财务部工作流程；,本科,1,2024-05-11 11:32,上海和黄药业,1001~3000人,上海,生物|医药
HRBP实习生（培训创意方向）,200-220元/天,3个月,1.协助推动HR内部的知识和经验的沉淀，让HR同学更有体系地快速学习、了解、掌握相关内容。,本科,1,2024-05-16 16:26,美团,1001~3000人,北京,互联网|游戏|软件
VC分析师岗位实习生,150-200元/天,3个月,职位描述：,本科,1,2024-05-10 18:24,众引传播,101~300人,上海,广告|传媒|文化|体育
新媒体实习生,150-200元/天,长期,负责微信、微博、抖音、B站等自媒体平台的日常运营及推广工作；,本科,2,2024-05-15 10:41,四海一家,11~50人,北京,广告|传媒|文化|体育
视频编辑实习生,150-200元/天,长期,1、拍摄素材，并负责素材粗剪；,本科,1,2024-05-15 10:41,四海一家,11~50人,北京,广告|传媒|文化|体育
公司金融实习生,75-100元/天,3个月,1、协助部门经营业务数据的汇总、统计及基本分析；,本科,1,2024-05-16 10:22,广汽财务公司,51~100人,广东,金融
市场实习生,150-200元/天,3个月,1、根据项目特点撰写宣传文案；,本科,2,2024-05-15 10:41,四海一家,11~50人,北京,广告|传媒|文化|体育
渠道准入中心实习生,130-150元/天,3个月,1、按照指导要求完成销售数据的整理、校准及分析等工作,本科,1,2024-05-14 10:32,微创神通（微创脑科学）,301~1000人,上海,生物|医药
人力资源部实习生（培训运营方向）,150-250元/天,3个月,1、协助公司级培训项目的实施和运营，成为一个会运营的PM！,本科,2,2024-05-13 10:31,网易游戏互娱,3001人及以上,广东,互联网|游戏|软件
医学代表实习生 – 学术型实习生,110-160元/天,3个月,您将收获：,大专,30,2024-05-16 23:42,阿斯利康,3001人及以上,上海,生物|医药
投研实习生,180-200元/天,4个月,险峰K2VC一直致力于科技早期投资。我们非常看好未来10年碳中和及科技领域的创业机会，在相关领域已经陆续投资了多家早期创业公司，覆盖光伏、风电、氢能、储能、CCUS、建筑等多个核心领域，已投公司有：云储科技（数字化储能-清华电机系）、兆瓦云（虚拟电厂-清华能源互联网研究院）、知能科技（风电智能运维-清华交叉信息学院）、康诺思腾、济美动力（氢燃料电池）、溯驭技术（氢燃料电池控制系统）、视觉动力（光伏智能解决方案商）、mango power(用户侧储能)等。官网是www.k2vc.com    ,硕士,3,2024-05-16 16:59,K2VC,51~100人,北京,金融
LMM(Local Marketing Manager)助理实习生,100-120元/天,6个月,1、协助LMM处理日常工作事务,本科,1,2024-05-14 16:35,辉瑞,3001人及以上,北京,生物|医药
大区助理实习生,100-120元/天,4个月,岗位职责：,本科,1,2024-05-13 11:00,辉瑞,3001人及以上,北京,生物|医药
辉瑞医学部实习生,140-150元/天,6个月,1. 协助医学部会议筹备，提供综合、全面的支持以确保团队效率， 锻炼组织协调能力；,硕士,1,2024-05-14 16:35,辉瑞,3001人及以上,北京,生物|医药
客户实习生,150-200元/天,3个月,岗位职责：,大专,2,2024-05-10 18:22,众引传播,101~300人,上海,广告|传媒|文化|体育
政府智库/政企公共关系实习生,150-200元/天,长期,1. 研究、跟进国家及各地方相关政策法规、产业动态，与业务团队协同，支持有关资质、项目、荣誉的申请与落地；,硕士,1,2024-05-11 12:05,智车平台,51~100人,上海,汽车|机械|制造
户用光伏事业部综合管理实习生,150-180元/天,3个月,协助综合管理组组长，完成数据统计、会议材料整理、会议记录等综合管理工作。,本科,1,2024-05-16 11:28,晶科电力,1001~3000人,上海,能源|环保
行政商务实习生,150-180元/天,3个月,1、行政类采购支付（员工福利采购支付、携程对账支付、快递对账支付、文印对账支付）。2、日常商务工作及对接各区域文件用印跑办等。3、运营工作（运营数据统计及分析）。4、完成上级领导交代的其他相关工作事宜。,本科,1,2024-05-16 11:29,晶科电力,1001~3000人,上海,能源|环保
财务实习生,100-120元/天,3个月,1、协助收入成本确认；,本科,1,2024-05-16 15:59,中运科技,51~100人,广东,广告|传媒|文化|体育
财务实习生,150-160元/天,6个月,1、熟悉财务部工作流程；,本科,1,2024-05-11 11:32,上海和黄药业,1001~3000人,上海,生物|医药
户用光伏事业部商务档案实习生,150-230元/天,3个月,【Job Description】,不限,5,2024-05-16 11:28,晶科电力,1001~3000人,上海,能源|环保
HRBP实习生（培训创意方向）,200-220元/天,3个月,1.协助推动HR内部的知识和经验的沉淀，让HR同学更有体系地快速学习、了解、掌握相关内容。,本科,1,2024-05-16 16:26,美团,1001~3000人,北京,互联网|游戏|软件
体育运营实习生,148-150元/天,3个月,1，APP页面推荐更新,本科,5,2024-05-16 16:35,咪咕视讯,1001~3000人,上海,互联网|游戏|软件
财务实习生,100-120元/天,3个月,1、协助收入成本确认；,本科,1,2024-05-16 15:59,中运科技,51~100人,广东,广告|传媒|文化|体育
人力资源实习生,2-3K/月,3个月,1、发布招聘信息、收集、筛选简历并进行电话面试，按照岗位要求进行主动搜寻及目标简历获取,本科,1,2024-05-15 14:29,华大集团BGI,3001人及以上,广东,生物|医药
医学代表实习生 – 学术型实习生-山东,面议,3个月,您将收获：,大专,100,2024-05-16 23:42,阿斯利康,3001人及以上,上海,生物|医药
国际业务部实习生,130-180元/天,3个月,1、协助文档管理、文档编辑类工作,本科,1,2024-05-14 10:35,微创神通（微创脑科学）,301~1000人,上海,生物|医药
教育管理岗实习生,2-3K/月,3个月,1.协助团队完成教育类活动的策划及落地,本科,2,2024-05-15 17:23,华大集团BGI,3001人及以上,广东,生物|医药
内容运营实习生（远程）,面议,3个月,1.发现页运营：筛选站内优质用户内容，并推荐给用户。,本科,5,2024-05-14 15:05,搜狐,3001人及以上,北京,互联网|游戏|软件
财务实习生,80-100元/天,3个月,1. 整理归档各类财务凭证，催收并核对发票,本科,1,2024-05-16 10:17,东软,3001人及以上,湖北,互联网|游戏|软件
生物类实习生(J17395),2-3K/月,6个月,1. 参与生物相关科研、技术应用开发等工作；,本科,10,2024-05-15 14:42,华大集团BGI,3001人及以上,广东,生物|医药
网规实习生,120-121元/天,6个月,职责范围：,大专,1,2024-05-14 16:38,达美乐比萨,1001~3000人,全国,快速消费品
内控审计实习生,75-100元/天,3个月,1、协助部门年度工作数据的统计。,本科,1,2024-05-16 10:22,广汽财务公司,51~100人,广东,金融
活动运营实习生,100-101元/天,3个月,1、 立足项目目标，结合重要节点，参与面向目标用户的活动策划；,不限,1,2024-05-16 14:14,搜狐,3001人及以上,北京,互联网|游戏|软件
HR实习生,160-180元/天,6个月,-协助HR开展各项人力资源工作；,本科,1,2024-05-10 13:56,SABIC,3001人及以上,上海,能源|环保
医学代表实习生 – 学术型实习生-河南,110-160元/天,3个月,您将收获：,大专,30,2024-05-16 23:42,阿斯利康,3001人及以上,上海,生物|医药
财务实习生-华特迪士尼幻想工程,150-160元/天,6个月,岗位介绍 ,本科,2,2024-05-15 16:12,迪士尼,3001人及以上,上海,多元化集团
【实习招聘】国盛证券自营-REITs投研方向,100-120元/天,3个月,【工作内容】,硕士,1,2024-05-14 13:41,国盛证券,1001~3000人,上海,金融
